aid,acount,author,description,duration,damaku,collect,like,pubdate,review,tag,title,typename
115506988190147,1744733,英雄联盟,"千年前，亚恒做出了他的选择。而如今，命运的纸笔再度摆在赵信面前。
联合创作：Fortiche。",4:44,3047,6790,35594,2025-11-08 00:00:00,10196,"LOL,英雄联盟,赵信,芸阿娜,英雄联盟新英雄亚恒",【英雄联盟】宿命的抉择 | 第 3 主题季终章 CG,网络游戏
115518749018546,6663943,哔哩哔哩英雄联盟赛事,【2025全球总决赛】11月9日 KT vs T1,306:47,46208,13500,37351,2025-11-09 16:21:46,27455,"英雄联盟,T1,电子竞技,KT,LPL,游戏赛事,lol,2025全球总决赛,2025LPL",【2025全球总决赛】11月9日 KT vs T1,电子竞技
7079,671566,兰斯Studios,,,0,0,0,1970-01-01 08:00:00,0,,【兰斯】英雄联盟打野通关宝典,
115522523893897,70952,淬火刺青,2025年 英雄联盟 全球总决赛 决赛 T1 VS KT,285:4,194,109,185,2025-11-10 08:24:16,20,"英雄联盟,全球总决赛,电竞赛事",2025年 英雄联盟 全球总决赛 决赛 T1 VS KT,短片
115596008098378,165054,神牛教丶教主,,9:25,942,231,6320,2025-11-23 17:00:00,384,"英雄联盟,电子竞技,新英雄,MOBA,上单牛头,下班整点英雄联盟",克制新英雄选牛头就对了必上青铜。,电子竞技
115600957376444,29730,小麦开坦克,"兄弟们看完视频能不能顺手点个赞，若是能投个币就更好了[藏狐]
黄金局",14:56,84,59,379,2025-11-24 04:47:13,84,"LOL,英雄联盟,电子竞技,小法师,北枫",【北枫】究极逆风局被对面嘲讽&quot;浪费时间&quot;，1300法强小法师狠狠打你的脸,电子竞技
115597031508086,255453,LOL丶诺诺,再见FPX~,29:2,2405,2109,8649,2025-11-23 12:08:34,1924,"英雄联盟,LPL,RNG,FPX,Doinb,英雄联盟S15",再无凤凰！从惊艳涅槃，到黯然退出，八年时间FPX为何走向了最后的毁灭？【联盟那些事儿】,电子竞技
115599111947445,327433,困困君丶,"审核老师辛苦啦！！

虽然说挺数值的，但就问你帅不帅吧",2:51,242,262,13473,2025-11-23 20:58:49,554,"英雄联盟,第一视角,电子竞技,新英雄,亚恒,海克斯注力刚壁,5A连招,平A穿插普攻,下班整点英雄联盟,不落魔锋",一个视频带你感受新英雄-亚恒的“操作”盛宴！,电子竞技
378447400,637,lol超神解说lol,,,0,0,0,1970-01-01 08:00:00,0,,英雄联盟LOL王者教学：解脱者塞拉斯,
115598524682630,21602,马来西亚前夫,,3:45,58,31,865,2025-11-24 12:30:00,140,"娱乐,操作,英雄联盟,大乱斗,电子竞技,精彩集锦,石头人,MOBA,海克斯,lol",乱斗里来了几个新ad！,电子竞技
115593088865218,33593,yizhilugou,"猜不到结局！快速看完一局韩服王者斗殴局#734 Weiwei, Bull 
BGM:https://music.163.com/playlist?id=650818240&amp;userid=30476594",15:19,252,160,1851,2025-11-23 12:05:00,98,"英雄联盟,韩服,电子竞技,王者,英雄联盟S15","猜不到结局！快速看完一局韩服王者斗殴局#734 Weiwei, Bull",电子竞技
386158012,1893511,祥云璧,谢谢你看我的视频！这期视频播放还好的话以后再继续做英雄联盟的视频！不然就算了就全当一些热爱了！,94:11,6294,63519,80696,2022-07-22 18:18:47,8431,"网络游戏,LOL,英雄联盟LOL,教学,游戏视频,LOL英雄联盟,英雄联盟,祥云璧,英雄联盟教学",快分享给你想玩英雄联盟的朋友！保姆级入门教学！,电子竞技
115586747072977,1754208,阳光男孩小丑熊,小丑别联系我了我怕亚恒误会,2:59,1377,2500,70198,2025-11-21 16:37:26,5587,"搞笑,LOL,英雄联盟,电子竞技,下班整点英雄联盟",这新英雄和小丑是一个游戏里的？,网络游戏
115592753383209,67592,柔风亚索,,6:47,217,91,2488,2025-11-23 12:00:00,152,"英雄联盟,亚索,疾风剑豪,韩服王者",丝滑的AE！ 亚索VS鳄鱼,网络游戏
7054,301559,兰斯Studios,,,0,0,0,1970-01-01 08:00:00,0,,【兰斯】英雄联盟上单通关宝典,
115593927793411,76399,空白的心丶z,超梦峡谷之巅冲第一：https://www.huya.com/257085,11:32,282,62,1279,2025-11-22 22:59:42,189,"LOL,英雄联盟,剑魔,小超梦,腕豪",小超梦：新英雄亚恒560攻击力自带复活，团战一通乱冲站起来还是满血！“一枪直接给他屁股捅开线！”,电子竞技
115593726395705,36810,好狠的绿光,"兄弟们移速流诺手你好说的
如果你看了喜欢，可以点上一个赞
兄弟们点个赞吧aaaaaaaaaaaaa",11:37,204,56,938,2025-11-22 22:08:39,85,"LOL,娱乐,英雄联盟,电子竞技,上单,德莱厄斯,MOBA,诺手,机神,英雄联盟S15",移速流机神诺手是对的！天空属于诺克萨斯！,电子竞技
114345384086412,1650603,纪憨猪,,7:25,621,6830,40779,2025-04-16 11:00:16,1115,"英雄联盟手游,lol手游,轻教学,LOL手游双星璀璨",手 游 高 分 段 现 状,电子竞技
115599128664950,31193,小姐姐的天啊,-,18:37,224,37,168,2025-11-23 21:03:31,340,"英雄联盟,BLG,IG,AL,MOBA,LPL,JDG,WBG,Tes,英雄联盟S15",2025LPL转会期大结局，哪支才是你的主队？LPL转会期战队消息汇总。BLG和AL成大小王，WBG和JDG能否一战？TES和IG还能补强吗？,电子竞技
115599027997525,14111,黑手king,,2:4,31,40,1148,2025-11-24 12:00:00,40,"英雄联盟,电子竞技,精彩集锦,诺手,下班整点英雄联盟",狼人：请输入文本,电子竞技
